R Code,LaTex,Variable,Description,Value,Units,,,,,,,,,,,
aTime_Month = time*12/365,t_{m}= t_{d} \cdot \frac{12}{365},$t_{m}$,Converts units of time from days to months,$ t_{d} \cdot \frac{12}{365}$,months,,,,,,,,,,,
aTemperature = aTemp_Mean + aTemp_SD*sin(2*pi*time/365 + aTime_to_Peak),T = \overline{T} + T_{\sigma}\sin(2\pi \frac{t_{d}}{365} + t_{peak}),$T $,Creates temperature curve for the year,$ \overline{T} + T_{\sigma}\sin(2\pi \frac{t_{d}}{365} + t_{peak})$,C,,,,,,,,,,,
aIrradiance = aIrr_Mean + aIrr_SD*sin(2*pi*time/365 + aTime_to_Peak),I = \overline{I} + I_{\sigma}\sin(2\pi \frac{t_{d}}{365} + t_{peak}),$I $,Creates irradiance curve for the year,$ \overline{I} + I_{\sigma}\sin(2\pi \frac{t_{d}}{365} + t_{peak})$,\mu mol photons m^{-2} s^{-1},,,,,,,,,,,
aVolume_Farm = aCult_Depth*aArea_Farm,V_{farm} = z_{c} \cdot A_{farm},$V_{farm} $,Volume of farm,$ z_{c} \cdot A_{farm}$,m^{3},,,,,,,,,,,
Growth Module,Growth Module,Growth Module,,,,,,,,,,,,,,
aNO3_Ref = aNO3_Mean + aNO3_SD*sin(2*pi*time/365 + aTime_to_Peak_N),NO_{3 ref} = NO_{3 \mu} + NO_{3 \sigma}\sin(2\pi t_{d}/365 + t_{N_{peak}}),$NO_{3 ref} $,Background $NO_{3}$ concentration,$ NO_{3 \mu} + NO_{3 \sigma}\sin(2\pi t_{d}/365 + t_{N_{peak}})$,kg N m^{-3},,,,,,,,,,,
aNH4_Ref = aNH4_Mean + aNH4_SD*sin(2*pi*time/365 + aTime_to_Peak_N),NH_{4 ref} = NH_{4 \mu} + NH_{4 \sigma}\sin(2\pi t_{d}/365 + t_{N_{peak}}),$NH_{4 ref} $,Background $NH_{4}$ concentration,$ NH_{4 \mu} + NH_{4 \sigma}\sin(2\pi t_{d}/365 + t_{N_{peak}})$,kg N m^{-3},,,,,,,,,,,
aDry_Biomass = sum(stocks[1:FINISH]),B = \sum_{t=1}^{t_{\omega}} \bm{S_{t}},$B $,Sum the biomass of all age classes,$ \sum_{t=1}^{t_{\omega}} \bm{S_{t}}$,kg dw,,,,,,,,,,,
aN_Fixed = aDry_Biomass*aQ_Min,N_{f} = B\lambda,$N_{f} $,Converts biomass to nitrogen content,$ B\lambda$,kg N,,,,,,,,,,,
